,set_num,name_x,year,num_parts,theme_name,id,parent_theme,is_licensed
626,60134-1,Fun in the park - City People Pack,2016,,City,50,Town,False
627,60135-1,ATV Arrest,2017,47.0,Police,50,Town,False
628,60136-1,Police Starter Set,2017,,Police,50,Town,False
629,60137-1,Tow Truck Trouble,2017,,Police,50,Town,False
630,60138-1,High-speed Chase,2017,,Police,50,Town,False
631,60139-1,Mobile Command Center,2017,,Police,50,Town,False
632,60140-1,Bulldozer Break-In,2017,,Police,50,Town,False
633,60141-1,Police Station,2017,,Police,50,Town,False
634,60142-1,Money Transporter,2017,,Police,50,Town,False
635,60143-1,Auto Transport Heist,2017,402.0,Police,50,Town,False
636,60144-1,Race Plane,2017,,Airport,50,Town,False
637,60145-1,Buggy,2017,80.0,Traffic,50,Town,False
638,60146-1,Stunt Truck,2017,,City,50,Town,False
639,60147-1,Fishing Boat,2017,144.0,City,50,Town,False
640,60148-1,ATV Race Team,2017,238.0,Traffic,50,Town,False
641,60149-1,4x4 with Catamaran,2017,,City,50,Town,False
642,60150-1,Pizza Van,2017,249.0,Traffic,50,Town,False
643,60151-1,Dragster Transporter,2017,327.0,City,50,Town,False
644,60152-1,Sweeper & Excavator,2017,298.0,City,50,Town,False
645,60153-1,People pack Fun at the beach,2017,167.0,City,50,Town,False
646,60154-1,Bus Station,2017,336.0,City,50,Town,False
647,60156-1,Jungle Buggy,2017,,Jungle,50,Town,False
648,60157-1,Jungle Starter Set,2017,,Jungle,50,Town,False
649,60158,Jungle Cargo Helicopter,2017,200.0,Jungle,50,Town,False
650,60158-1,Jungle Cargo Helicopter,2017,,Jungle,50,Town,False
651,60159-1,Jungle Halftrack Mission,2017,378.0,Jungle,50,Town,False
652,60160-1,Jungle Mobile Lab,2017,423.0,Jungle,50,Town,False
653,60161-1,Jungle Exploration Site,2017,813.0,Jungle,50,Town,False
654,60162-1,Jungle Air Drop Helicopter,2017,1248.0,Jungle,50,Town,False
655,60163-1,Coast Guard Starter Set,2017,,Coast Guard,50,Town,False
656,60164-1,Sea Rescue Plane,2017,140.0,City,50,Town,False
657,60165-1,4 x 4 Response Unit,2017,346.0,City,50,Town,False
658,60166-1,Heavy-Duty Rescue Helicopter,2017,414.0,City,50,Town,False
659,60167-1,Coast Guard Head Quarters,2017,,Coast Guard,50,Town,False
660,60168-1,Sailboat Rescue,2017,194.0,City,50,Town,False
661,60169-1,City Cargo Terminal,2017,740.0,City,50,Town,False
662,602-1,Fire Chief's Car,1978,,Fire,50,Town,False
663,603-1,Sidecar,1978,,Traffic,50,Town,False
664,604-1,Shell Service Car,1978,,Station,50,Town,False
665,605-1,Street Sweeper,1978,,Traffic,50,Town,False
666,606-1,Ambulance,1978,,Hospital,50,Town,False
667,607-1,Mini Loader,1979,,Construction,50,Town,False
668,608-2,Taxi,1979,25.0,Traffic,50,Town,False
669,620-1,Fireman's Car,1978,,Fire,50,Town,False
670,621-1,Police Car,1978,34.0,Police,50,Town,False
671,622-1,Tipper Truck,1978,32.0,Construction,50,Town,False
672,623-1,Medic's Car,1978,33.0,Hospital,50,Town,False
673,625-1,Tractor,1978,,Construction,50,Town,False
674,626-2,Red Cross Helicopter,1978,36.0,Hospital,50,Town,False
675,6301-1,Town Mini-Figures,1986,,Supplemental,50,Town,False
676,6302-1,Mini-Figure Set,1982,31.0,Supplemental,50,Town,False
677,6304-1,Cross Roads Plates,1980,,Supplemental,50,Town,False
678,6305-1,Trees and Flowers,1980,24.0,Supplemental,50,Town,False
679,6306-1,Road Signs,1980,12.0,Supplemental,50,Town,False
680,6307-1,Firemen,1983,,Supplemental,50,Town,False
681,6308-1,Policemen,1982,20.0,Supplemental,50,Town,False
682,6309-1,Town Mini-Figures,1988,,Supplemental,50,Town,False
683,6310-1,T-Road Plates,1986,2.0,Supplemental,50,Town,False
684,6311-1,Curved Road Plates,1986,2.0,Supplemental,50,Town,False
685,6312-1,Straight Road Plates,1986,,Supplemental,50,Town,False
686,6313-1,Cross-Road Plates,1986,,Supplemental,50,Town,False
687,6314-1,City People,1992,,Supplemental,50,Town,False
688,6315-1,Road Signs,1988,11.0,Supplemental,50,Town,False
689,6316-1,Flags and Fences,1988,38.0,Supplemental,50,Town,False
690,6317-1,Trees and Flowers,1988,48.0,Supplemental,50,Town,False
691,6318-1,"Flowers, Trees and Fences",1996,,Supplemental,50,Town,False
692,6319-1,Trees and Fences,1993,45.0,Supplemental,50,Town,False
693,6320-1,T-Road Plates,1997,,Supplemental,50,Town,False
694,6321-1,Curved Road Plates,1997,,Supplemental,50,Town,False
695,6322-1,Straight Road Plates,1997,2.0,Supplemental,50,Town,False
696,6323-1,Cross Road Plates,1997,,Supplemental,50,Town,False
697,6324-1,Chopper Cop,1998,24.0,Police,50,Town,False
698,6325-1,Package Pick-Up,1998,29.0,Cargo,50,Town,False
699,6326-1,Town Folks,1998,40.0,Supplemental,50,Town,False
700,6327-1,Turbo Champs,1998,,Race,50,Town,False
701,6328-1,Helicopter Transport,1998,102.0,Police,50,Town,False
702,6329-1,Truck Stop,1998,139.0,Traffic,50,Town,False
703,6330-1,Cargo Center,1998,,Cargo,50,Town,False
704,6331-1,Patriot Jet,1996,166.0,Airport,50,Town,False
705,6332-1,Command Post Central,1998,,Police,50,Town,False
706,6333-1,Race and Chase,1998,50.0,Race,50,Town,False
707,6334-1,Wave Jump Racers,1996,,Race,50,Town,False
708,6335-1,Indy Transport,1996,402.0,Race,50,Town,False
709,6336-1,Launch Response Unit,1995,181.0,Launch Command,50,Town,False
710,6337-1,Fast Track Finish,1996,339.0,Race,50,Town,False
